date;Michelle Williams;Pádraig Harrington;Crawley Town;Animation in film;air travel;isPartial
2023-01-01;20;0;8;0;12;False
2023-01-02;13;1;19;0;14;False
2023-01-03;11;3;6;0;9;False
2023-01-04;6;1;3;0;13;False
2023-01-05;5;0;7;1;11;False
2023-01-06;4;0;13;0;11;False
2023-01-07;6;0;14;0;8;False
2023-01-08;7;0;5;0;13;False
2023-01-09;4;0;5;0;8;False
2023-01-10;3;1;6;1;12;False
2023-01-11;6;0;8;0;14;False
2023-01-12;5;0;4;2;11;False
2023-01-13;7;1;6;0;9;False
2023-01-14;13;0;6;1;8;False
2023-01-15;5;0;3;1;10;False
2023-01-16;4;0;2;0;10;False
2023-01-17;2;0;5;1;8;False
2023-01-18;4;0;11;1;12;False
2023-01-19;3;3;5;0;11;False
2023-01-20;100;2;5;0;9;False
2023-01-21;57;0;9;0;9;False
2023-01-22;17;2;5;0;11;False
2023-01-23;15;0;6;0;11;False
2023-01-24;14;0;4;4;8;False
2023-01-25;13;1;3;1;11;False
2023-01-26;16;1;4;2;10;False
2023-01-27;8;0;6;0;7;False
2023-01-28;18;0;14;2;10;False
2023-01-29;9;0;7;1;9;False
2023-01-30;9;1;5;0;15;False
2023-01-31;4;0;8;0;13;False
