date;Britain's Got Talent;Royal Shakespeare Company;Crown Prosecution Service;Brisbane Lions;air travel;isPartial
2023-01-01;23;0;0;0;76;False
2023-01-02;14;0;0;0;90;False
2023-01-03;12;7;0;7;59;False
2023-01-04;7;12;5;0;89;False
2023-01-05;15;0;13;8;73;False
2023-01-06;8;0;5;9;73;False
2023-01-07;23;7;0;0;53;False
2023-01-08;27;10;0;0;84;False
2023-01-09;13;0;7;0;50;False
2023-01-10;16;0;24;8;79;False
2023-01-11;14;0;18;0;90;False
2023-01-12;0;0;0;0;75;False
2023-01-13;22;7;9;0;60;False
2023-01-14;10;0;10;0;56;False
2023-01-15;29;0;5;0;66;False
2023-01-16;0;0;13;0;68;False
2023-01-17;29;5;0;0;56;False
2023-01-18;15;9;9;0;80;False
2023-01-19;19;7;0;0;73;False
2023-01-20;19;0;16;0;59;False
2023-01-21;20;0;0;0;63;False
2023-01-22;7;13;0;0;70;False
2023-01-23;20;14;0;0;72;False
2023-01-24;17;5;0;7;55;False
2023-01-25;12;5;0;0;75;False
2023-01-26;13;0;0;0;68;False
2023-01-27;14;0;9;0;47;False
2023-01-28;22;13;0;0;66;False
2023-01-29;21;0;0;0;60;False
2023-01-30;35;0;14;0;100;False
2023-01-31;21;8;7;0;84;False
