date;Transfer window;Rahul Gandhi;NHS;Canary Islands holidays;air travel;isPartial
2023-01-01;2;0;57;0;1;False
2023-01-02;1;0;73;1;1;False
2023-01-03;1;0;95;0;1;False
2023-01-04;1;0;96;0;1;False
2023-01-05;1;0;88;0;1;False
2023-01-06;0;0;86;0;1;False
2023-01-07;0;0;57;0;0;False
2023-01-08;0;0;65;1;1;False
2023-01-09;0;0;100;0;0;False
2023-01-10;0;0;90;0;1;False
2023-01-11;1;0;87;0;1;False
2023-01-12;0;0;99;0;1;False
2023-01-13;0;0;73;0;1;False
2023-01-14;0;0;56;0;1;False
2023-01-15;1;0;59;1;1;False
2023-01-16;0;0;91;0;1;False
2023-01-17;1;0;91;0;1;False
2023-01-18;0;0;90;0;1;False
2023-01-19;0;0;88;0;1;False
2023-01-20;1;0;80;0;1;False
2023-01-21;1;0;61;0;1;False
2023-01-22;0;0;63;0;1;False
2023-01-23;1;0;96;0;1;False
2023-01-24;1;0;95;0;1;False
2023-01-25;1;0;91;0;1;False
2023-01-26;1;0;91;0;1;False
2023-01-27;1;0;78;0;0;False
2023-01-28;0;0;54;0;1;False
2023-01-29;1;0;58;0;1;False
2023-01-30;3;0;96;0;1;False
2023-01-31;4;0;94;0;1;False
