date;Yoko Ono;world war two;North and Central America;Self-assessment tax;air travel;isPartial
2023-01-01;41;10;0;0;76;False
2023-01-02;16;21;0;5;90;False
2023-01-03;31;15;0;5;59;False
2023-01-04;15;8;0;6;89;False
2023-01-05;14;16;8;8;73;False
2023-01-06;23;7;0;0;73;False
2023-01-07;18;6;0;0;53;False
2023-01-08;49;0;13;11;84;False
2023-01-09;0;13;0;16;50;False
2023-01-10;22;15;0;5;79;False
2023-01-11;11;12;0;0;90;False
2023-01-12;15;12;6;17;75;False
2023-01-13;16;15;0;0;60;False
2023-01-14;42;0;0;6;56;False
2023-01-15;55;27;0;12;66;False
2023-01-16;28;12;0;7;68;False
2023-01-17;38;22;0;12;56;False
2023-01-18;30;16;0;0;80;False
2023-01-19;33;21;0;7;73;False
2023-01-20;22;10;0;7;59;False
2023-01-21;44;0;0;0;63;False
2023-01-22;29;28;0;24;70;False
2023-01-23;19;47;0;0;72;False
2023-01-24;10;20;0;0;55;False
2023-01-25;22;17;0;0;75;False
2023-01-26;26;15;0;8;68;False
2023-01-27;22;12;0;0;47;False
2023-01-28;15;24;16;18;66;False
2023-01-29;28;36;0;7;60;False
2023-01-30;16;7;0;22;100;False
2023-01-31;30;19;0;30;84;False
