date;connecticut;autism;Lisa Nandy;sophy ridge on sunday podcast;air travel;isPartial
2023-01-01;4;71;2;0;7;False
2023-01-02;5;82;1;0;8;False
2023-01-03;4;87;0;0;5;False
2023-01-04;5;86;0;0;8;False
2023-01-05;2;90;2;0;7;False
2023-01-06;4;85;0;0;7;False
2023-01-07;2;76;1;0;5;False
2023-01-08;4;78;1;0;8;False
2023-01-09;4;87;0;0;4;False
2023-01-10;3;89;2;0;7;False
2023-01-11;4;95;1;0;8;False
2023-01-12;2;90;0;0;7;False
2023-01-13;4;85;1;0;5;False
2023-01-14;2;79;0;0;5;False
2023-01-15;4;89;0;0;6;False
2023-01-16;2;100;0;0;6;False
2023-01-17;3;92;0;0;5;False
2023-01-18;4;91;2;0;7;False
2023-01-19;2;91;5;0;7;False
2023-01-20;3;93;1;0;5;False
2023-01-21;5;92;0;0;6;False
2023-01-22;2;85;2;0;6;False
2023-01-23;2;94;0;0;6;False
2023-01-24;4;94;0;0;5;False
2023-01-25;4;98;2;0;7;False
2023-01-26;3;97;0;0;6;False
2023-01-27;4;84;1;0;4;False
2023-01-28;2;76;1;0;6;False
2023-01-29;3;82;0;0;5;False
2023-01-30;3;94;0;0;9;False
2023-01-31;3;97;0;0;8;False
