date;Road transport;Simon Bird;Sally Wainwright;farming;air travel;isPartial
2023-01-01;1;3;22;98;19;False
2023-01-02;6;5;23;95;22;False
2023-01-03;5;7;9;81;14;False
2023-01-04;5;4;5;99;22;False
2023-01-05;5;13;5;100;18;False
2023-01-06;4;57;7;82;18;False
2023-01-07;4;11;3;68;13;False
2023-01-08;3;6;18;88;21;False
2023-01-09;3;16;15;93;12;False
2023-01-10;2;4;7;91;19;False
2023-01-11;5;0;5;90;22;False
2023-01-12;5;4;9;92;18;False
2023-01-13;5;3;12;78;15;False
2023-01-14;1;6;6;73;14;False
2023-01-15;2;7;16;88;16;False
2023-01-16;6;4;18;91;17;False
2023-01-17;5;3;10;91;14;False
2023-01-18;6;8;10;84;20;False
2023-01-19;4;3;5;98;18;False
2023-01-20;3;16;5;86;15;False
2023-01-21;5;12;10;75;15;False
2023-01-22;0;10;21;85;17;False
2023-01-23;5;30;17;75;18;False
2023-01-24;7;18;10;99;14;False
2023-01-25;10;14;10;88;19;False
2023-01-26;2;10;11;95;17;False
2023-01-27;6;8;10;89;12;False
2023-01-28;4;13;10;81;16;False
2023-01-29;4;7;30;88;15;False
2023-01-30;3;8;30;93;25;False
2023-01-31;8;3;20;91;21;False
