date;Peak oil;Sophocles;Reform UK;Aleksandar Hemon;air travel;isPartial
2023-01-01;6;0;24;0;67;False
2023-01-02;0;7;29;11;80;False
2023-01-03;0;6;24;30;52;False
2023-01-04;0;7;64;0;78;False
2023-01-05;0;0;39;5;64;False
2023-01-06;0;0;27;0;65;False
2023-01-07;0;7;33;0;47;False
2023-01-08;0;15;37;9;74;False
2023-01-09;0;6;16;0;44;False
2023-01-10;17;0;43;7;70;False
2023-01-11;0;11;28;0;79;False
2023-01-12;0;0;25;0;66;False
2023-01-13;0;0;45;0;53;False
2023-01-14;16;0;27;0;49;False
2023-01-15;0;0;35;6;58;False
2023-01-16;5;6;26;0;60;False
2023-01-17;9;0;18;0;49;False
2023-01-18;0;0;42;0;71;False
2023-01-19;0;4;33;5;64;False
2023-01-20;6;0;15;0;52;False
2023-01-21;6;0;33;0;56;False
2023-01-22;0;0;43;0;62;False
2023-01-23;0;8;33;0;63;False
2023-01-24;4;6;46;0;48;False
2023-01-25;0;5;61;0;66;False
2023-01-26;0;100;34;0;60;False
2023-01-27;0;18;49;0;41;False
2023-01-28;0;16;18;0;58;False
2023-01-29;0;10;30;0;53;False
2023-01-30;0;0;31;5;88;False
2023-01-31;0;9;52;0;74;False
