date;new york city;Asus;Joanna Lumley;Sale;air travel;isPartial
2023-01-01;0;1;0;93;0;False
2023-01-02;0;1;0;100;0;False
2023-01-03;0;1;0;79;0;False
2023-01-04;0;1;0;79;0;False
2023-01-05;0;1;0;76;0;False
2023-01-06;0;1;0;74;0;False
2023-01-07;0;1;0;83;0;False
2023-01-08;0;1;0;88;0;False
2023-01-09;0;1;0;70;0;False
2023-01-10;0;1;0;73;0;False
2023-01-11;0;1;0;71;0;False
2023-01-12;0;1;0;72;0;False
2023-01-13;0;1;0;70;0;False
2023-01-14;0;1;0;80;0;False
2023-01-15;0;1;0;78;0;False
2023-01-16;0;1;2;70;0;False
2023-01-17;0;1;0;76;0;False
2023-01-18;0;1;0;69;0;False
2023-01-19;0;1;0;73;0;False
2023-01-20;0;1;0;74;0;False
2023-01-21;0;1;0;86;0;False
2023-01-22;0;1;0;84;0;False
2023-01-23;0;1;0;72;0;False
2023-01-24;0;1;0;70;0;False
2023-01-25;0;1;0;71;0;False
2023-01-26;0;1;0;64;0;False
2023-01-27;0;1;0;70;0;False
2023-01-28;0;1;0;76;0;False
2023-01-29;1;1;0;84;0;False
2023-01-30;0;1;0;70;0;False
2023-01-31;0;1;0;72;0;False
