date;World Health Organization;Mikel Arteta;Rivers;HSBC;air travel;isPartial
2023-01-01;0;4;15;42;3;False
2023-01-02;1;1;12;63;4;False
2023-01-03;1;3;13;99;2;False
2023-01-04;0;2;11;97;4;False
2023-01-05;1;1;13;87;3;False
2023-01-06;0;1;10;91;3;False
2023-01-07;0;1;10;57;2;False
2023-01-08;0;1;11;54;3;False
2023-01-09;0;3;12;90;2;False
2023-01-10;0;1;11;85;3;False
2023-01-11;1;0;12;83;4;False
2023-01-12;0;0;13;88;3;False
2023-01-13;1;1;10;87;2;False
2023-01-14;1;1;12;57;2;False
2023-01-15;1;5;11;57;3;False
2023-01-16;1;2;11;90;3;False
2023-01-17;1;1;12;89;2;False
2023-01-18;1;1;12;81;3;False
2023-01-19;1;1;12;81;3;False
2023-01-20;1;2;11;86;2;False
2023-01-21;1;1;10;63;3;False
2023-01-22;0;6;12;51;3;False
2023-01-23;0;3;11;91;3;False
2023-01-24;0;1;11;90;2;False
2023-01-25;1;2;11;86;3;False
2023-01-26;0;3;12;88;3;False
2023-01-27;1;6;12;87;2;False
2023-01-28;1;2;12;60;3;False
2023-01-29;0;2;10;55;2;False
2023-01-30;1;1;13;97;4;False
2023-01-31;0;0;12;100;3;False
