date;Famine;Yorkshire holidays;Climate science;Chagos Islands;air travel;isPartial
2023-01-01;44;40;14;0;76;False
2023-01-02;40;27;0;0;90;False
2023-01-03;39;33;7;13;59;False
2023-01-04;35;39;7;19;89;False
2023-01-05;39;29;7;0;73;False
2023-01-06;46;43;0;5;73;False
2023-01-07;50;14;0;5;53;False
2023-01-08;46;32;0;0;84;False
2023-01-09;62;31;0;5;50;False
2023-01-10;37;51;5;0;79;False
2023-01-11;54;21;0;0;90;False
2023-01-12;53;16;6;20;75;False
2023-01-13;43;35;7;7;60;False
2023-01-14;36;36;10;0;56;False
2023-01-15;33;27;0;0;66;False
2023-01-16;40;26;6;0;68;False
2023-01-17;48;25;0;0;56;False
2023-01-18;47;30;7;0;80;False
2023-01-19;44;19;0;0;73;False
2023-01-20;54;16;0;0;59;False
2023-01-21;44;41;0;0;63;False
2023-01-22;50;35;0;0;70;False
2023-01-23;35;29;6;0;72;False
2023-01-24;40;23;6;0;55;False
2023-01-25;46;15;0;0;75;False
2023-01-26;44;22;0;0;68;False
2023-01-27;43;22;0;0;47;False
2023-01-28;40;27;0;0;66;False
2023-01-29;33;25;0;0;60;False
2023-01-30;39;15;13;0;100;False
2023-01-31;27;15;6;12;84;False
