date;mcdonald's;leeds;Doctors;Edgar Degas;air travel;isPartial
2023-01-01;21;47;5;0;1;False
2023-01-02;11;55;9;0;1;False
2023-01-03;9;48;13;0;0;False
2023-01-04;9;85;12;0;1;False
2023-01-05;8;55;12;0;1;False
2023-01-06;8;51;11;0;1;False
2023-01-07;9;53;6;0;0;False
2023-01-08;10;90;5;0;1;False
2023-01-09;7;60;15;0;0;False
2023-01-10;7;56;12;0;1;False
2023-01-11;7;53;11;0;1;False
2023-01-12;7;64;11;0;1;False
2023-01-13;8;100;10;0;0;False
2023-01-14;10;62;5;0;0;False
2023-01-15;10;50;6;0;1;False
2023-01-16;7;57;12;0;1;False
2023-01-17;6;58;11;0;0;False
2023-01-18;7;86;10;0;1;False
2023-01-19;8;63;10;0;1;False
2023-01-20;9;67;11;0;0;False
2023-01-21;11;64;6;0;0;False
2023-01-22;9;82;5;0;1;False
2023-01-23;7;60;13;0;1;False
2023-01-24;7;57;11;0;0;False
2023-01-25;7;58;11;0;1;False
2023-01-26;7;57;10;0;1;False
2023-01-27;8;60;9;0;0;False
2023-01-28;11;80;5;0;1;False
2023-01-29;11;58;5;0;0;False
2023-01-30;7;62;12;0;1;False
2023-01-31;8;67;11;0;1;False
