date;UBS;Biography books;george ezra;Travel writing;air travel;isPartial
2023-01-01;3;1;100;0;9;False
2023-01-02;4;3;13;0;10;False
2023-01-03;7;0;7;0;7;False
2023-01-04;8;0;6;2;10;False
2023-01-05;8;2;7;0;8;False
2023-01-06;6;1;9;1;8;False
2023-01-07;3;1;7;0;6;False
2023-01-08;2;1;6;1;10;False
2023-01-09;8;2;6;0;6;False
2023-01-10;7;0;7;0;9;False
2023-01-11;6;1;7;0;10;False
2023-01-12;8;1;45;1;8;False
2023-01-13;6;1;32;0;7;False
2023-01-14;3;0;32;0;6;False
2023-01-15;2;1;24;1;8;False
2023-01-16;12;0;18;1;8;False
2023-01-17;9;0;29;1;6;False
2023-01-18;10;1;17;1;9;False
2023-01-19;11;0;15;0;8;False
2023-01-20;7;1;21;0;7;False
2023-01-21;2;1;92;0;7;False
2023-01-22;7;0;31;1;8;False
2023-01-23;7;0;17;0;8;False
2023-01-24;9;1;18;1;6;False
2023-01-25;10;0;12;3;9;False
2023-01-26;9;0;13;1;8;False
2023-01-27;7;0;14;0;5;False
2023-01-28;3;2;17;1;7;False
2023-01-29;4;0;14;1;7;False
2023-01-30;11;2;12;1;11;False
2023-01-31;12;0;11;0;10;False
