date;Antarctica;nhs;Gibraltar;Local elections;air travel;isPartial
2023-01-01;1;57;2;0;1;False
2023-01-02;1;73;2;0;1;False
2023-01-03;1;95;1;0;1;False
2023-01-04;1;96;1;0;1;False
2023-01-05;1;88;1;0;1;False
2023-01-06;1;86;2;0;1;False
2023-01-07;1;57;1;0;0;False
2023-01-08;1;65;2;0;1;False
2023-01-09;1;100;2;0;0;False
2023-01-10;1;90;2;0;1;False
2023-01-11;1;87;1;0;1;False
2023-01-12;1;99;2;0;1;False
2023-01-13;1;73;1;0;1;False
2023-01-14;1;56;2;0;1;False
2023-01-15;1;59;2;0;1;False
2023-01-16;1;91;2;0;1;False
2023-01-17;1;91;1;0;1;False
2023-01-18;1;90;2;0;1;False
2023-01-19;2;88;2;0;1;False
2023-01-20;1;80;2;0;1;False
2023-01-21;1;61;2;0;1;False
2023-01-22;2;63;2;0;1;False
2023-01-23;1;96;2;0;1;False
2023-01-24;1;95;2;0;1;False
2023-01-25;1;91;2;0;1;False
2023-01-26;1;91;2;0;1;False
2023-01-27;1;78;2;0;0;False
2023-01-28;1;54;2;0;1;False
2023-01-29;1;58;1;0;1;False
2023-01-30;1;96;2;0;1;False
2023-01-31;1;94;1;0;1;False
