date;Group trips;House of Commons;vaccination;Nursing;air travel;isPartial
2023-01-01;0;2;10;56;6;False
2023-01-02;0;2;16;65;7;False
2023-01-03;1;4;26;79;5;False
2023-01-04;0;5;26;94;7;False
2023-01-05;0;5;22;85;6;False
2023-01-06;1;3;21;78;6;False
2023-01-07;0;3;17;65;4;False
2023-01-08;0;3;18;66;7;False
2023-01-09;0;5;22;92;4;False
2023-01-10;0;5;21;92;6;False
2023-01-11;0;5;19;94;7;False
2023-01-12;0;6;20;100;6;False
2023-01-13;0;3;17;68;5;False
2023-01-14;0;3;14;56;4;False
2023-01-15;1;3;14;63;5;False
2023-01-16;0;4;19;83;5;False
2023-01-17;0;6;17;92;4;False
2023-01-18;0;4;14;97;6;False
2023-01-19;0;8;14;93;6;False
2023-01-20;0;3;20;79;5;False
2023-01-21;0;2;11;61;5;False
2023-01-22;0;2;14;69;5;False
2023-01-23;0;6;19;87;6;False
2023-01-24;0;3;18;85;4;False
2023-01-25;0;6;18;82;6;False
2023-01-26;0;4;18;77;5;False
2023-01-27;2;5;13;72;4;False
2023-01-28;0;3;11;54;5;False
2023-01-29;0;2;12;56;5;False
2023-01-30;0;5;17;83;8;False
2023-01-31;1;4;15;83;7;False
