date;Land rights;Australian education;Willie Nelson;US prisons;air travel;isPartial
2023-01-01;0;0;30;6;76;False
2023-01-02;0;0;39;9;90;False
2023-01-03;0;0;16;0;59;False
2023-01-04;0;0;22;0;89;False
2023-01-05;10;6;28;0;73;False
2023-01-06;0;0;25;5;73;False
2023-01-07;6;0;30;0;53;False
2023-01-08;6;0;30;11;84;False
2023-01-09;0;0;11;0;50;False
2023-01-10;13;9;25;5;79;False
2023-01-11;0;0;32;8;90;False
2023-01-12;0;0;42;9;75;False
2023-01-13;16;0;28;6;60;False
2023-01-14;10;21;17;0;56;False
2023-01-15;0;9;17;0;66;False
2023-01-16;10;7;18;0;68;False
2023-01-17;11;7;29;5;56;False
2023-01-18;9;12;14;0;80;False
2023-01-19;7;0;26;0;73;False
2023-01-20;0;0;21;0;59;False
2023-01-21;0;11;23;0;63;False
2023-01-22;0;0;26;0;70;False
2023-01-23;9;0;29;0;72;False
2023-01-24;11;7;21;0;55;False
2023-01-25;0;0;29;0;75;False
2023-01-26;0;6;14;5;68;False
2023-01-27;5;0;28;5;47;False
2023-01-28;0;0;31;15;66;False
2023-01-29;0;0;33;0;60;False
2023-01-30;7;0;17;0;100;False
2023-01-31;0;0;12;0;84;False
