date;Flights;Brendan Gleeson;University administration;Lyric Hammersmith;air travel;isPartial
2023-01-01;77;1;0;0;1;False
2023-01-02;93;0;0;0;1;False
2023-01-03;92;0;0;0;1;False
2023-01-04;90;0;0;0;1;False
2023-01-05;84;0;0;0;1;False
2023-01-06;79;0;0;0;1;False
2023-01-07;90;0;0;0;1;False
2023-01-08;100;1;0;0;1;False
2023-01-09;86;0;0;0;1;False
2023-01-10;88;0;0;0;1;False
2023-01-11;83;1;0;0;1;False
2023-01-12;79;0;0;0;1;False
2023-01-13;73;0;0;0;1;False
2023-01-14;82;1;0;0;1;False
2023-01-15;93;0;0;0;1;False
2023-01-16;77;0;0;0;1;False
2023-01-17;79;0;0;0;1;False
2023-01-18;80;0;0;0;1;False
2023-01-19;60;0;0;0;1;False
2023-01-20;75;1;0;0;1;False
2023-01-21;77;1;0;0;1;False
2023-01-22;95;1;0;0;1;False
2023-01-23;77;0;0;0;1;False
2023-01-24;84;1;0;0;1;False
2023-01-25;75;0;0;0;1;False
2023-01-26;70;0;0;0;1;False
2023-01-27;68;0;0;0;1;False
2023-01-28;82;1;0;0;1;False
2023-01-29;93;0;0;0;1;False
2023-01-30;83;0;0;0;1;False
2023-01-31;77;0;0;0;1;False
