date;emmanuel macron;Early years education;Books;Starter;air travel;isPartial
2023-01-01;0;0;83;13;2;False
2023-01-02;0;0;99;13;2;False
2023-01-03;0;0;98;13;1;False
2023-01-04;0;0;90;13;2;False
2023-01-05;0;0;81;12;2;False
2023-01-06;0;0;83;14;2;False
2023-01-07;1;0;78;14;1;False
2023-01-08;0;0;100;14;2;False
2023-01-09;0;0;86;13;1;False
2023-01-10;0;0;95;13;2;False
2023-01-11;0;0;83;13;2;False
2023-01-12;0;0;87;13;2;False
2023-01-13;0;0;75;13;1;False
2023-01-14;0;0;83;12;1;False
2023-01-15;0;0;91;14;2;False
2023-01-16;0;0;83;16;2;False
2023-01-17;0;0;76;12;1;False
2023-01-18;0;0;82;13;2;False
2023-01-19;0;0;77;13;2;False
2023-01-20;0;0;76;14;1;False
2023-01-21;0;0;83;15;2;False
2023-01-22;0;0;85;13;2;False
2023-01-23;0;0;85;15;2;False
2023-01-24;0;0;78;15;1;False
2023-01-25;0;0;77;13;2;False
2023-01-26;0;0;77;13;2;False
2023-01-27;0;0;75;12;1;False
2023-01-28;0;0;79;13;2;False
2023-01-29;0;0;86;13;1;False
2023-01-30;0;0;82;12;2;False
2023-01-31;0;0;84;14;2;False
