date;technology;bill nighy;Adam Driver;Mountaineering;air travel;isPartial
2023-01-01;35;8;13;2;8;False
2023-01-02;46;11;8;5;9;False
2023-01-03;67;4;5;3;6;False
2023-01-04;82;4;5;3;9;False
2023-01-05;80;2;5;0;7;False
2023-01-06;73;4;4;3;7;False
2023-01-07;47;4;3;2;5;False
2023-01-08;50;4;5;2;8;False
2023-01-09;83;2;3;2;5;False
2023-01-10;92;3;4;3;8;False
2023-01-11;90;3;3;1;9;False
2023-01-12;92;3;3;2;7;False
2023-01-13;79;15;3;2;6;False
2023-01-14;47;4;4;2;6;False
2023-01-15;50;7;5;4;7;False
2023-01-16;92;2;5;3;7;False
2023-01-17;86;3;2;4;5;False
2023-01-18;89;2;3;3;8;False
2023-01-19;86;7;3;1;7;False
2023-01-20;78;4;3;2;6;False
2023-01-21;48;5;6;2;6;False
2023-01-22;48;3;3;4;7;False
2023-01-23;91;2;2;2;7;False
2023-01-24;95;15;3;2;5;False
2023-01-25;86;15;3;3;7;False
2023-01-26;85;8;4;2;7;False
2023-01-27;72;8;5;3;5;False
2023-01-28;43;11;3;1;6;False
2023-01-29;49;7;3;2;6;False
2023-01-30;90;4;3;2;10;False
2023-01-31;100;2;3;3;8;False
