date;hawaii;Newspapers & magazines;The Observer;English National Opera (ENO);air travel;isPartial
2023-01-01;99;0;13;0;17;False
2023-01-02;78;0;7;0;20;False
2023-01-03;63;0;5;0;13;False
2023-01-04;79;0;7;0;20;False
2023-01-05;78;0;3;0;16;False
2023-01-06;92;0;2;0;16;False
2023-01-07;100;0;5;0;12;False
2023-01-08;98;0;13;0;19;False
2023-01-09;93;0;7;0;11;False
2023-01-10;77;0;7;0;18;False
2023-01-11;74;0;6;0;20;False
2023-01-12;76;0;7;0;17;False
2023-01-13;67;0;5;0;13;False
2023-01-14;83;0;0;0;13;False
2023-01-15;85;0;10;0;15;False
2023-01-16;67;0;7;0;15;False
2023-01-17;61;0;4;0;13;False
2023-01-18;64;0;5;0;18;False
2023-01-19;67;0;7;0;16;False
2023-01-20;71;0;4;0;13;False
2023-01-21;81;0;9;0;14;False
2023-01-22;80;0;16;0;16;False
2023-01-23;78;0;5;0;16;False
2023-01-24;77;0;4;0;12;False
2023-01-25;95;0;5;0;17;False
2023-01-26;52;0;3;0;15;False
2023-01-27;66;0;8;0;11;False
2023-01-28;59;0;4;0;15;False
2023-01-29;79;0;20;0;14;False
2023-01-30;63;0;8;0;22;False
2023-01-31;82;0;4;0;19;False
