date;Prostate cancer;Six Nations 2023;Dementia;King Charles III;air travel;isPartial
2023-01-01;17;13;53;6;8;False
2023-01-02;11;15;57;14;10;False
2023-01-03;19;17;61;8;6;False
2023-01-04;19;18;67;4;10;False
2023-01-05;17;19;62;6;8;False
2023-01-06;16;22;58;5;8;False
2023-01-07;13;20;58;4;6;False
2023-01-08;14;21;63;4;9;False
2023-01-09;16;24;69;5;5;False
2023-01-10;20;18;60;7;9;False
2023-01-11;19;27;72;5;10;False
2023-01-12;45;22;71;5;8;False
2023-01-13;24;21;67;6;6;False
2023-01-14;20;27;79;4;6;False
2023-01-15;21;27;75;4;7;False
2023-01-16;23;29;73;3;7;False
2023-01-17;24;34;70;5;6;False
2023-01-18;22;22;100;5;9;False
2023-01-19;24;25;98;6;8;False
2023-01-20;21;29;75;6;6;False
2023-01-21;16;36;57;9;7;False
2023-01-22;16;31;58;4;8;False
2023-01-23;23;27;73;4;8;False
2023-01-24;21;34;74;3;6;False
2023-01-25;46;29;75;3;8;False
2023-01-26;25;29;70;3;7;False
2023-01-27;20;35;64;3;5;False
2023-01-28;18;51;59;5;7;False
2023-01-29;19;52;60;3;7;False
2023-01-30;32;50;68;3;11;False
2023-01-31;26;53;78;3;9;False
