date;Peru;TSB;Trafigura;Advertising;air travel;isPartial
2023-01-01;17;48;0;16;7;False
2023-01-02;18;71;0;12;8;False
2023-01-03;17;100;0;19;5;False
2023-01-04;19;80;1;23;8;False
2023-01-05;16;82;0;27;7;False
2023-01-06;19;85;0;27;7;False
2023-01-07;20;62;0;14;5;False
2023-01-08;19;57;0;18;8;False
2023-01-09;18;86;0;24;5;False
2023-01-10;19;79;0;28;7;False
2023-01-11;21;81;0;30;8;False
2023-01-12;19;83;0;29;7;False
2023-01-13;22;86;1;25;6;False
2023-01-14;26;61;0;16;5;False
2023-01-15;18;45;0;13;6;False
2023-01-16;20;80;1;28;6;False
2023-01-17;23;69;0;26;5;False
2023-01-18;18;77;0;25;7;False
2023-01-19;19;80;1;28;7;False
2023-01-20;24;79;1;24;6;False
2023-01-21;25;64;0;19;6;False
2023-01-22;28;53;0;15;7;False
2023-01-23;23;86;1;32;7;False
2023-01-24;21;80;1;33;5;False
2023-01-25;20;80;0;29;7;False
2023-01-26;16;80;1;26;6;False
2023-01-27;16;90;1;23;4;False
2023-01-28;15;64;0;16;6;False
2023-01-29;21;50;0;16;6;False
2023-01-30;18;89;0;31;9;False
2023-01-31;20;91;1;30;8;False
