date;US unions;Supergrass;Drug resistance;nick clegg;air travel;isPartial
2023-01-01;3;9;0;5;47;False
2023-01-02;0;11;0;0;55;False
2023-01-03;0;0;9;0;36;False
2023-01-04;0;4;0;0;54;False
2023-01-05;0;0;0;0;44;False
2023-01-06;0;4;0;3;45;False
2023-01-07;9;13;0;6;32;False
2023-01-08;0;8;3;0;51;False
2023-01-09;4;0;0;9;30;False
2023-01-10;4;0;5;0;48;False
2023-01-11;0;3;0;3;55;False
2023-01-12;0;9;0;0;45;False
2023-01-13;0;14;0;0;36;False
2023-01-14;0;4;0;0;34;False
2023-01-15;0;28;3;0;40;False
2023-01-16;14;12;0;6;42;False
2023-01-17;0;0;0;4;34;False
2023-01-18;0;4;0;5;49;False
2023-01-19;0;0;0;0;44;False
2023-01-20;0;6;0;4;36;False
2023-01-21;0;8;9;5;38;False
2023-01-22;5;0;0;6;43;False
2023-01-23;0;5;0;6;44;False
2023-01-24;0;0;4;0;33;False
2023-01-25;0;10;3;12;46;False
2023-01-26;8;100;0;36;41;False
2023-01-27;0;21;0;4;29;False
2023-01-28;0;7;0;4;40;False
2023-01-29;0;13;3;16;37;False
2023-01-30;0;13;0;0;61;False
2023-01-31;0;14;0;4;51;False
