date;Nicola Sturgeon;Archaeology;Scissor Sisters;Management;air travel;isPartial
2023-01-01;2;2;1;42;3;False
2023-01-02;2;2;0;55;3;False
2023-01-03;1;2;0;82;2;False
2023-01-04;4;3;0;90;3;False
2023-01-05;2;2;0;86;3;False
2023-01-06;2;2;1;82;3;False
2023-01-07;4;1;0;56;2;False
2023-01-08;2;2;0;61;3;False
2023-01-09;3;2;0;94;2;False
2023-01-10;3;2;0;97;3;False
2023-01-11;5;2;0;93;3;False
2023-01-12;3;3;0;100;3;False
2023-01-13;4;2;1;86;2;False
2023-01-14;4;2;0;55;2;False
2023-01-15;2;2;0;57;2;False
2023-01-16;5;3;0;96;2;False
2023-01-17;6;4;1;95;2;False
2023-01-18;4;3;0;97;3;False
2023-01-19;3;3;0;93;3;False
2023-01-20;3;2;1;87;2;False
2023-01-21;5;2;1;57;2;False
2023-01-22;8;3;0;51;3;False
2023-01-23;4;3;0;99;3;False
2023-01-24;5;3;0;98;2;False
2023-01-25;3;2;0;94;3;False
2023-01-26;4;2;0;90;2;False
2023-01-27;4;2;0;86;2;False
2023-01-28;4;1;0;56;2;False
2023-01-29;5;2;0;56;2;False
2023-01-30;6;3;0;95;4;False
2023-01-31;11;3;0;99;3;False
