date;Qatar;Stoke-on-Trent;TV streaming;Endometriosis;air travel;isPartial
2023-01-01;75;10;12;17;9;False
2023-01-02;78;11;11;16;11;False
2023-01-03;81;11;15;26;7;False
2023-01-04;79;12;11;24;11;False
2023-01-05;72;11;9;22;9;False
2023-01-06;69;13;11;26;9;False
2023-01-07;68;12;11;18;6;False
2023-01-08;78;10;10;23;10;False
2023-01-09;84;14;6;23;6;False
2023-01-10;88;9;14;24;10;False
2023-01-11;78;11;7;27;11;False
2023-01-12;71;13;8;25;9;False
2023-01-13;78;10;7;27;7;False
2023-01-14;73;9;19;20;7;False
2023-01-15;77;11;14;20;8;False
2023-01-16;100;13;9;26;8;False
2023-01-17;86;15;10;26;7;False
2023-01-18;74;12;10;22;10;False
2023-01-19;77;18;10;26;9;False
2023-01-20;71;10;8;23;7;False
2023-01-21;67;10;15;20;8;False
2023-01-22;77;11;15;20;8;False
2023-01-23;82;12;7;23;9;False
2023-01-24;66;9;9;30;7;False
2023-01-25;77;12;7;26;9;False
2023-01-26;68;11;6;24;8;False
2023-01-27;66;11;7;20;6;False
2023-01-28;65;7;12;18;8;False
2023-01-29;69;11;11;21;7;False
2023-01-30;72;11;6;27;12;False
2023-01-31;70;12;10;26;10;False
