date;Sleep apnoea;Kevin McCarthy;FTSE;David Lammy;air travel;isPartial
2023-01-01;0;0;8;0;3;False
2023-01-02;0;0;20;0;3;False
2023-01-03;0;6;85;0;2;False
2023-01-04;0;11;84;0;3;False
2023-01-05;0;12;88;0;2;False
2023-01-06;1;11;88;0;2;False
2023-01-07;0;19;13;0;2;False
2023-01-08;0;4;10;2;3;False
2023-01-09;1;1;89;1;2;False
2023-01-10;1;1;81;0;3;False
2023-01-11;1;1;82;0;3;False
2023-01-12;0;1;97;0;3;False
2023-01-13;1;0;98;0;2;False
2023-01-14;0;0;15;0;2;False
2023-01-15;0;1;10;1;2;False
2023-01-16;0;1;100;1;2;False
2023-01-17;1;1;90;0;2;False
2023-01-18;1;0;88;0;3;False
2023-01-19;0;0;79;0;2;False
2023-01-20;1;0;91;0;2;False
2023-01-21;0;0;13;0;2;False
2023-01-22;0;0;7;0;2;False
2023-01-23;1;0;86;0;2;False
2023-01-24;0;0;83;1;2;False
2023-01-25;1;0;83;1;3;False
2023-01-26;0;0;84;1;2;False
2023-01-27;0;0;78;1;2;False
2023-01-28;0;0;12;0;2;False
2023-01-29;0;0;8;0;2;False
2023-01-30;0;0;87;0;3;False
2023-01-31;0;0;86;1;3;False
