date;Short stories;Drax;Mayoral elections;Harry Styles;air travel;isPartial
2023-01-01;10;8;0;94;14;False
2023-01-02;10;8;0;72;16;False
2023-01-03;6;11;1;56;10;False
2023-01-04;8;12;0;78;16;False
2023-01-05;6;36;1;65;13;False
2023-01-06;9;22;0;65;13;False
2023-01-07;10;14;0;74;9;False
2023-01-08;9;14;0;81;15;False
2023-01-09;7;14;0;58;9;False
2023-01-10;8;9;0;69;14;False
2023-01-11;8;12;1;57;16;False
2023-01-12;9;5;0;79;13;False
2023-01-13;8;13;0;85;11;False
2023-01-14;6;5;0;82;10;False
2023-01-15;9;6;0;87;12;False
2023-01-16;10;12;0;48;12;False
2023-01-17;8;9;0;57;10;False
2023-01-18;10;7;0;52;14;False
2023-01-19;6;12;0;47;13;False
2023-01-20;8;7;0;71;10;False
2023-01-21;6;6;0;100;11;False
2023-01-22;8;5;0;64;12;False
2023-01-23;9;12;0;55;13;False
2023-01-24;6;9;0;55;10;False
2023-01-25;8;6;2;58;13;False
2023-01-26;9;7;0;60;12;False
2023-01-27;5;6;2;77;8;False
2023-01-28;10;4;0;83;12;False
2023-01-29;7;1;0;80;11;False
2023-01-30;10;8;0;77;18;False
2023-01-31;8;9;0;80;15;False
