date;Danny DeVito;Hugh Jackman;Justin Trudeau;Kim Jong-un;air travel;isPartial
2023-01-01;68;45;0;4;55;False
2023-01-02;57;100;0;6;65;False
2023-01-03;35;35;6;5;42;False
2023-01-04;8;23;16;4;64;False
2023-01-05;20;49;0;0;52;False
2023-01-06;33;34;12;0;53;False
2023-01-07;43;34;0;0;38;False
2023-01-08;73;36;0;7;61;False
2023-01-09;40;21;7;3;36;False
2023-01-10;28;26;17;4;57;False
2023-01-11;38;37;9;0;64;False
2023-01-12;34;40;3;0;54;False
2023-01-13;43;41;10;0;43;False
2023-01-14;18;45;11;0;40;False
2023-01-15;37;39;7;7;48;False
2023-01-16;27;21;9;0;49;False
2023-01-17;31;32;9;0;40;False
2023-01-18;46;26;11;10;58;False
2023-01-19;44;25;0;0;52;False
2023-01-20;51;37;5;0;42;False
2023-01-21;39;44;6;6;45;False
2023-01-22;35;37;18;0;50;False
2023-01-23;46;19;5;0;52;False
2023-01-24;11;23;14;0;40;False
2023-01-25;26;17;6;4;54;False
2023-01-26;13;32;10;0;49;False
2023-01-27;46;33;5;0;34;False
2023-01-28;37;43;0;0;47;False
2023-01-29;28;48;0;0;43;False
2023-01-30;29;24;5;3;72;False
2023-01-31;24;11;0;5;60;False
