date;Chat and messaging apps;Rathbones Folio prize;usa;Blues;air travel;isPartial
2023-01-01;0;0;97;22;3;False
2023-01-02;0;0;96;21;4;False
2023-01-03;0;0;88;17;2;False
2023-01-04;0;0;91;17;4;False
2023-01-05;0;0;90;15;3;False
2023-01-06;0;0;93;19;3;False
2023-01-07;0;0;91;21;2;False
2023-01-08;0;0;99;21;3;False
2023-01-09;0;0;95;18;2;False
2023-01-10;0;0;95;17;3;False
2023-01-11;0;0;93;21;4;False
2023-01-12;0;1;94;19;3;False
2023-01-13;0;0;91;32;2;False
2023-01-14;0;0;92;24;2;False
2023-01-15;0;0;97;31;3;False
2023-01-16;0;0;100;18;3;False
2023-01-17;0;0;88;17;2;False
2023-01-18;0;0;87;21;3;False
2023-01-19;0;0;94;19;3;False
2023-01-20;0;0;89;19;2;False
2023-01-21;0;0;91;27;3;False
2023-01-22;0;0;96;20;3;False
2023-01-23;0;0;92;17;3;False
2023-01-24;0;0;94;16;2;False
2023-01-25;0;0;91;18;3;False
2023-01-26;0;0;89;18;3;False
2023-01-27;0;0;88;21;2;False
2023-01-28;0;0;88;22;3;False
2023-01-29;0;0;95;21;2;False
2023-01-30;0;0;94;17;4;False
2023-01-31;0;0;89;19;3;False
