date;Green travel;ITV News;elle edwards;Samoa;air travel;isPartial
2023-01-01;3;67;23;25;22;False
2023-01-02;8;57;18;13;26;False
2023-01-03;4;70;15;12;17;False
2023-01-04;9;67;10;0;26;False
2023-01-05;5;86;7;11;21;False
2023-01-06;4;100;7;3;21;False
2023-01-07;11;75;6;9;16;False
2023-01-08;4;97;3;13;25;False
2023-01-09;7;89;3;8;15;False
2023-01-10;8;86;4;6;23;False
2023-01-11;4;81;13;9;26;False
2023-01-12;0;88;12;8;22;False
2023-01-13;11;77;48;3;18;False
2023-01-14;4;60;11;8;16;False
2023-01-15;6;48;4;6;19;False
2023-01-16;3;89;4;6;20;False
2023-01-17;6;76;0;9;16;False
2023-01-18;4;86;2;3;23;False
2023-01-19;6;78;3;3;21;False
2023-01-20;6;83;13;2;17;False
2023-01-21;11;63;0;8;18;False
2023-01-22;9;60;0;2;21;False
2023-01-23;6;81;0;10;21;False
2023-01-24;7;83;4;3;16;False
2023-01-25;9;68;53;7;22;False
2023-01-26;8;84;16;7;20;False
2023-01-27;6;78;5;7;14;False
2023-01-28;6;63;5;7;19;False
2023-01-29;10;66;2;11;18;False
2023-01-30;6;83;7;4;29;False
2023-01-31;7;100;4;7;25;False
