date;Christian Bale;George Bernard Shaw;Motor sport;Insurance;air travel;isPartial
2023-01-01;1;0;0;46;1;False
2023-01-02;1;0;0;72;1;False
2023-01-03;1;0;0;96;1;False
2023-01-04;1;0;0;92;1;False
2023-01-05;1;0;0;87;1;False
2023-01-06;3;0;0;81;1;False
2023-01-07;5;0;0;72;1;False
2023-01-08;4;0;0;72;1;False
2023-01-09;2;0;0;92;1;False
2023-01-10;2;0;0;91;1;False
2023-01-11;1;0;0;90;1;False
2023-01-12;1;0;0;89;1;False
2023-01-13;2;0;0;79;1;False
2023-01-14;2;0;0;71;1;False
2023-01-15;2;0;0;69;1;False
2023-01-16;1;0;0;100;1;False
2023-01-17;1;0;0;94;1;False
2023-01-18;1;0;0;92;1;False
2023-01-19;1;0;0;84;1;False
2023-01-20;1;0;0;79;1;False
2023-01-21;2;0;0;76;1;False
2023-01-22;1;0;0;68;1;False
2023-01-23;1;0;0;97;1;False
2023-01-24;1;0;0;91;1;False
2023-01-25;1;0;0;90;1;False
2023-01-26;1;0;0;89;1;False
2023-01-27;1;0;0;90;1;False
2023-01-28;1;0;0;71;1;False
2023-01-29;1;0;0;71;1;False
2023-01-30;1;0;0;95;1;False
2023-01-31;1;0;0;92;1;False
