date;Ellen DeGeneres;Hip-hop;Ed Davey;Hospitals;air travel;isPartial
2023-01-01;10;0;0;48;21;False
2023-01-02;7;0;7;71;25;False
2023-01-03;9;0;2;95;16;False
2023-01-04;9;0;4;89;25;False
2023-01-05;4;0;0;80;20;False
2023-01-06;5;0;0;83;20;False
2023-01-07;10;0;2;50;15;False
2023-01-08;9;0;0;62;24;False
2023-01-09;5;2;0;97;14;False
2023-01-10;16;5;0;94;22;False
2023-01-11;12;0;2;79;25;False
2023-01-12;9;1;0;83;21;False
2023-01-13;4;3;0;71;17;False
2023-01-14;8;0;3;47;16;False
2023-01-15;5;2;2;47;18;False
2023-01-16;6;4;0;83;19;False
2023-01-17;5;0;0;72;16;False
2023-01-18;3;0;0;89;22;False
2023-01-19;7;2;2;87;20;False
2023-01-20;9;2;2;78;16;False
2023-01-21;4;2;0;53;18;False
2023-01-22;6;2;0;54;20;False
2023-01-23;5;7;2;74;20;False
2023-01-24;5;2;0;74;15;False
2023-01-25;7;0;4;73;21;False
2023-01-26;7;0;3;84;19;False
2023-01-27;6;0;2;62;13;False
2023-01-28;6;5;0;53;18;False
2023-01-29;3;0;4;49;17;False
2023-01-30;1;2;0;100;28;False
2023-01-31;10;6;0;74;23;False
