date;US foreign policy;Climate finance;Hunting;The Archers;air travel;isPartial
2023-01-01;1;0;58;17;13;False
2023-01-02;0;2;59;16;15;False
2023-01-03;1;0;47;13;10;False
2023-01-04;0;1;45;14;15;False
2023-01-05;0;0;46;19;12;False
2023-01-06;1;0;43;16;12;False
2023-01-07;2;1;66;12;9;False
2023-01-08;0;0;100;18;14;False
2023-01-09;1;2;42;17;8;False
2023-01-10;1;1;42;16;13;False
2023-01-11;0;2;41;17;15;False
2023-01-12;0;0;51;20;12;False
2023-01-13;0;0;45;22;10;False
2023-01-14;0;1;57;11;9;False
2023-01-15;1;0;54;25;11;False
2023-01-16;0;3;45;19;11;False
2023-01-17;0;1;31;13;9;False
2023-01-18;2;1;47;19;13;False
2023-01-19;1;3;54;13;12;False
2023-01-20;0;0;47;14;10;False
2023-01-21;0;2;59;8;10;False
2023-01-22;0;0;59;45;12;False
2023-01-23;0;1;47;77;12;False
2023-01-24;0;0;50;60;9;False
2023-01-25;0;2;50;42;12;False
2023-01-26;1;1;44;34;11;False
2023-01-27;0;1;41;30;8;False
2023-01-28;0;0;56;15;11;False
2023-01-29;0;0;57;42;10;False
2023-01-30;0;1;45;25;17;False
2023-01-31;1;0;41;17;14;False
