date;the 1975;berkshire;Obesity;Victoria;air travel;isPartial
2023-01-01;4;9;2;85;2;False
2023-01-02;4;11;3;84;3;False
2023-01-03;4;11;2;81;2;False
2023-01-04;4;12;3;76;3;False
2023-01-05;5;10;4;77;2;False
2023-01-06;5;12;4;79;2;False
2023-01-07;6;8;2;80;2;False
2023-01-08;7;11;4;100;3;False
2023-01-09;14;12;4;90;2;False
2023-01-10;11;12;4;81;2;False
2023-01-11;14;10;4;87;3;False
2023-01-12;17;12;4;84;2;False
2023-01-13;26;11;3;80;2;False
2023-01-14;14;8;2;93;2;False
2023-01-15;13;9;2;83;2;False
2023-01-16;13;11;4;78;2;False
2023-01-17;9;10;3;75;2;False
2023-01-18;8;10;4;75;3;False
2023-01-19;9;9;4;77;2;False
2023-01-20;12;10;3;79;2;False
2023-01-21;12;9;2;87;2;False
2023-01-22;11;9;3;84;2;False
2023-01-23;10;12;5;77;2;False
2023-01-24;8;11;4;81;2;False
2023-01-25;8;10;5;77;2;False
2023-01-26;12;9;3;77;2;False
2023-01-27;8;12;2;81;1;False
2023-01-28;7;8;2;83;2;False
2023-01-29;6;10;3;81;2;False
2023-01-30;7;10;3;76;3;False
2023-01-31;8;11;3;77;3;False
