date;kemi badenoch;Obama administration;Greggs;Art theft;air travel;isPartial
2023-01-01;1;0;100;0;7;False
2023-01-02;1;0;81;2;8;False
2023-01-03;0;0;52;0;5;False
2023-01-04;1;0;54;0;8;False
2023-01-05;0;0;61;0;6;False
2023-01-06;0;0;61;0;6;False
2023-01-07;1;0;57;0;5;False
2023-01-08;1;0;65;0;7;False
2023-01-09;1;1;48;0;4;False
2023-01-10;1;0;57;0;7;False
2023-01-11;0;0;59;0;8;False
2023-01-12;0;1;60;0;6;False
2023-01-13;0;0;62;1;5;False
2023-01-14;1;1;58;1;5;False
2023-01-15;1;0;56;0;6;False
2023-01-16;1;0;54;0;6;False
2023-01-17;1;0;56;0;5;False
2023-01-18;1;0;58;0;7;False
2023-01-19;1;1;53;1;6;False
2023-01-20;1;0;60;1;5;False
2023-01-21;2;1;62;0;5;False
2023-01-22;1;0;69;0;6;False
2023-01-23;1;0;62;1;6;False
2023-01-24;0;1;59;1;5;False
2023-01-25;2;0;51;1;7;False
2023-01-26;1;0;53;0;6;False
2023-01-27;0;0;55;0;4;False
2023-01-28;0;1;62;0;6;False
2023-01-29;1;0;69;1;5;False
2023-01-30;0;0;62;0;9;False
2023-01-31;1;1;73;0;7;False
