date;inflation;maryland;Women;Germany;air travel;isPartial
2023-01-01;3;1;81;11;1;False
2023-01-02;4;1;81;12;1;False
2023-01-03;5;1;77;13;1;False
2023-01-04;8;0;76;13;1;False
2023-01-05;7;1;72;12;1;False
2023-01-06;6;1;74;12;1;False
2023-01-07;3;1;81;11;1;False
2023-01-08;5;1;89;12;1;False
2023-01-09;6;1;70;13;1;False
2023-01-10;6;1;75;13;1;False
2023-01-11;7;1;74;14;1;False
2023-01-12;9;1;76;14;1;False
2023-01-13;6;1;71;12;1;False
2023-01-14;3;1;84;12;1;False
2023-01-15;4;1;97;12;1;False
2023-01-16;6;1;79;14;1;False
2023-01-17;8;1;76;14;1;False
2023-01-18;11;1;74;14;1;False
2023-01-19;7;1;70;14;1;False
2023-01-20;6;1;74;14;1;False
2023-01-21;4;1;91;12;1;False
2023-01-22;4;1;100;14;1;False
2023-01-23;6;1;81;16;1;False
2023-01-24;7;1;80;16;1;False
2023-01-25;5;1;79;17;1;False
2023-01-26;6;1;77;15;1;False
2023-01-27;5;1;75;13;1;False
2023-01-28;4;1;88;11;1;False
2023-01-29;4;1;96;13;1;False
2023-01-30;6;1;79;14;1;False
2023-01-31;7;1;79;14;1;False
