date;Alan Tudge;Pakistan cricket team;Mahatma Gandhi;andrew bridgen;air travel;isPartial
2023-01-01;0;0;1;2;7;False
2023-01-02;0;1;0;2;8;False
2023-01-03;0;2;0;2;5;False
2023-01-04;0;2;0;1;8;False
2023-01-05;1;1;1;1;6;False
2023-01-06;0;1;1;1;6;False
2023-01-07;0;0;1;1;5;False
2023-01-08;0;0;0;1;7;False
2023-01-09;0;2;1;1;4;False
2023-01-10;0;1;1;9;7;False
2023-01-11;0;1;1;100;8;False
2023-01-12;0;1;1;25;6;False
2023-01-13;0;3;1;17;5;False
2023-01-14;0;1;0;9;5;False
2023-01-15;1;0;0;6;6;False
2023-01-16;0;1;1;3;6;False
2023-01-17;1;1;1;2;5;False
2023-01-18;0;0;1;3;7;False
2023-01-19;0;0;2;1;6;False
2023-01-20;0;0;0;3;5;False
2023-01-21;0;1;0;2;5;False
2023-01-22;0;1;0;1;6;False
2023-01-23;1;0;1;3;6;False
2023-01-24;0;0;0;3;5;False
2023-01-25;0;0;0;1;6;False
2023-01-26;0;0;1;6;6;False
2023-01-27;1;0;0;2;4;False
2023-01-28;0;1;1;2;6;False
2023-01-29;0;1;0;3;5;False
2023-01-30;0;0;3;3;9;False
2023-01-31;0;1;1;2;7;False
