date;Scotland;David Walliams;Hezbollah;Heartbreak High;air travel;isPartial
2023-01-01;72;1;0;0;1;False
2023-01-02;83;1;0;1;1;False
2023-01-03;83;1;0;0;1;False
2023-01-04;92;1;0;0;1;False
2023-01-05;83;1;0;1;1;False
2023-01-06;82;1;0;0;1;False
2023-01-07;69;1;0;0;1;False
2023-01-08;85;1;0;0;1;False
2023-01-09;88;0;0;0;1;False
2023-01-10;91;2;0;0;1;False
2023-01-11;86;1;0;0;1;False
2023-01-12;86;1;0;0;1;False
2023-01-13;88;1;0;0;1;False
2023-01-14;79;1;0;0;1;False
2023-01-15;86;1;0;0;1;False
2023-01-16;95;1;0;0;1;False
2023-01-17;96;1;0;0;1;False
2023-01-18;88;1;0;0;1;False
2023-01-19;92;0;0;0;1;False
2023-01-20;91;1;0;0;1;False
2023-01-21;81;1;0;0;1;False
2023-01-22;82;1;0;0;1;False
2023-01-23;95;1;0;0;1;False
2023-01-24;97;3;0;0;1;False
2023-01-25;96;2;0;0;1;False
2023-01-26;83;3;0;0;1;False
2023-01-27;85;2;0;0;1;False
2023-01-28;76;2;0;0;1;False
2023-01-29;78;1;0;0;1;False
2023-01-30;100;1;0;0;1;False
2023-01-31;100;1;0;0;1;False
