date;Telegraph Media Group;Welsh government;Toby Jones;Society;air travel;isPartial
2023-01-01;0;0;3;54;3;False
2023-01-02;0;1;1;66;4;False
2023-01-03;0;1;1;90;3;False
2023-01-04;0;1;1;90;4;False
2023-01-05;0;1;1;89;3;False
2023-01-06;0;1;3;82;3;False
2023-01-07;1;1;2;74;2;False
2023-01-08;0;1;2;69;4;False
2023-01-09;0;2;1;89;2;False
2023-01-10;0;2;3;86;3;False
2023-01-11;0;2;2;87;4;False
2023-01-12;0;1;0;88;3;False
2023-01-13;0;1;2;78;3;False
2023-01-14;0;1;2;65;2;False
2023-01-15;0;1;1;64;3;False
2023-01-16;0;1;1;87;3;False
2023-01-17;0;1;2;83;2;False
2023-01-18;0;2;1;88;3;False
2023-01-19;0;2;1;86;3;False
2023-01-20;1;1;1;84;3;False
2023-01-21;0;1;2;70;3;False
2023-01-22;0;1;1;62;3;False
2023-01-23;0;2;1;93;3;False
2023-01-24;1;2;1;100;2;False
2023-01-25;0;2;1;91;3;False
2023-01-26;0;2;1;84;3;False
2023-01-27;0;1;1;80;2;False
2023-01-28;0;1;1;61;3;False
2023-01-29;0;1;1;63;3;False
2023-01-30;0;1;3;89;4;False
2023-01-31;0;2;1;98;4;False
