date;space;Noel Edmonds;Mountains;CBS;air travel;isPartial
2023-01-01;55;1;7;2;2;False
2023-01-02;54;0;8;2;2;False
2023-01-03;58;0;9;3;1;False
2023-01-04;57;0;7;2;2;False
2023-01-05;55;0;7;3;2;False
2023-01-06;58;0;8;2;2;False
2023-01-07;54;1;8;2;1;False
2023-01-08;57;0;8;4;2;False
2023-01-09;100;0;7;11;1;False
2023-01-10;73;0;6;3;2;False
2023-01-11;58;0;7;2;2;False
2023-01-12;60;0;8;2;2;False
2023-01-13;57;1;6;2;1;False
2023-01-14;54;1;7;2;1;False
2023-01-15;53;0;8;2;2;False
2023-01-16;58;0;7;2;2;False
2023-01-17;58;0;7;2;1;False
2023-01-18;57;0;7;2;2;False
2023-01-19;57;0;7;2;2;False
2023-01-20;58;2;8;3;1;False
2023-01-21;58;2;7;2;1;False
2023-01-22;57;1;8;2;2;False
2023-01-23;62;1;8;2;2;False
2023-01-24;63;1;7;2;1;False
2023-01-25;62;0;7;2;2;False
2023-01-26;65;0;6;1;2;False
2023-01-27;74;0;6;2;1;False
2023-01-28;69;0;7;2;2;False
2023-01-29;71;0;8;2;1;False
2023-01-30;71;1;8;2;2;False
2023-01-31;72;1;6;2;2;False
