date;News UK;Early music;northumbria;Broadway;air travel;isPartial
2023-01-01;95;1;4;19;2;False
2023-01-02;97;0;5;20;3;False
2023-01-03;96;1;5;18;2;False
2023-01-04;94;1;6;17;3;False
2023-01-05;94;0;5;17;2;False
2023-01-06;91;1;6;18;2;False
2023-01-07;82;0;5;18;2;False
2023-01-08;92;1;5;19;3;False
2023-01-09;100;0;8;16;2;False
2023-01-10;99;0;7;16;3;False
2023-01-11;89;0;8;17;3;False
2023-01-12;92;0;7;19;2;False
2023-01-13;88;1;7;18;2;False
2023-01-14;87;0;4;19;2;False
2023-01-15;89;0;5;18;2;False
2023-01-16;93;0;7;18;2;False
2023-01-17;95;0;7;15;2;False
2023-01-18;88;0;6;15;3;False
2023-01-19;89;0;6;14;2;False
2023-01-20;85;1;6;18;2;False
2023-01-21;86;0;4;21;2;False
2023-01-22;83;1;5;17;2;False
2023-01-23;91;0;9;16;2;False
2023-01-24;88;1;8;17;2;False
2023-01-25;89;0;7;18;2;False
2023-01-26;85;0;6;16;2;False
2023-01-27;85;1;8;20;2;False
2023-01-28;80;0;4;21;2;False
2023-01-29;85;0;5;19;2;False
2023-01-30;91;0;8;16;3;False
2023-01-31;96;0;7;17;3;False
