date;Josephine Baker;Nice holidays;Shere Hite;GST;air travel;isPartial
2023-01-01;7;32;0;19;76;False
2023-01-02;19;43;0;27;90;False
2023-01-03;0;31;11;44;59;False
2023-01-04;4;32;7;46;89;False
2023-01-05;13;25;0;39;73;False
2023-01-06;14;14;11;32;73;False
2023-01-07;0;29;0;11;53;False
2023-01-08;0;24;14;13;84;False
2023-01-09;0;27;0;37;50;False
2023-01-10;20;24;0;35;79;False
2023-01-11;6;19;0;37;90;False
2023-01-12;7;5;0;35;75;False
2023-01-13;0;8;0;48;60;False
2023-01-14;0;31;0;54;56;False
2023-01-15;0;21;0;31;66;False
2023-01-16;0;27;5;56;68;False
2023-01-17;7;19;0;37;56;False
2023-01-18;0;13;0;44;80;False
2023-01-19;0;8;0;40;73;False
2023-01-20;0;15;0;33;59;False
2023-01-21;10;25;0;28;63;False
2023-01-22;0;24;0;33;70;False
2023-01-23;6;37;0;28;72;False
2023-01-24;14;19;0;46;55;False
2023-01-25;0;19;0;42;75;False
2023-01-26;0;20;0;61;68;False
2023-01-27;16;12;0;19;47;False
2023-01-28;0;38;0;14;66;False
2023-01-29;0;33;0;23;60;False
2023-01-30;0;16;0;45;100;False
2023-01-31;0;12;7;23;84;False
