date;essex lorry deaths;deborah james;Food security;Snow;air travel;isPartial
2023-01-01;0;0;0;54;2;False
2023-01-02;0;0;0;61;2;False
2023-01-03;0;0;0;87;1;False
2023-01-04;0;0;0;72;2;False
2023-01-05;0;0;0;53;1;False
2023-01-06;0;0;0;49;1;False
2023-01-07;0;0;0;57;1;False
2023-01-08;0;0;0;58;2;False
2023-01-09;0;0;0;45;1;False
2023-01-10;0;0;0;43;2;False
2023-01-11;0;1;0;42;2;False
2023-01-12;0;0;0;48;2;False
2023-01-13;0;1;0;48;1;False
2023-01-14;0;0;0;59;1;False
2023-01-15;0;0;0;97;1;False
2023-01-16;0;0;0;100;1;False
2023-01-17;0;0;0;99;1;False
2023-01-18;0;0;1;85;2;False
2023-01-19;0;0;0;64;1;False
2023-01-20;0;0;0;46;1;False
2023-01-21;0;0;0;54;1;False
2023-01-22;0;0;0;56;1;False
2023-01-23;0;0;1;47;1;False
2023-01-24;0;0;0;42;1;False
2023-01-25;0;0;0;40;2;False
2023-01-26;0;0;0;38;1;False
2023-01-27;0;0;0;38;1;False
2023-01-28;0;0;0;42;1;False
2023-01-29;0;0;0;48;1;False
2023-01-30;0;1;0;41;2;False
2023-01-31;0;0;0;36;2;False
