date;Governance;Satellites;princess eugenie;Food poverty;air travel;isPartial
2023-01-01;14;2;7;3;26;False
2023-01-02;24;2;3;0;31;False
2023-01-03;36;7;4;0;20;False
2023-01-04;39;4;0;5;30;False
2023-01-05;42;6;2;0;25;False
2023-01-06;38;10;6;0;25;False
2023-01-07;30;5;9;2;18;False
2023-01-08;25;11;4;2;29;False
2023-01-09;52;33;4;3;17;False
2023-01-10;57;28;4;2;27;False
2023-01-11;50;5;5;4;30;False
2023-01-12;57;4;4;5;25;False
2023-01-13;49;5;6;2;20;False
2023-01-14;18;5;5;4;19;False
2023-01-15;30;7;6;0;22;False
2023-01-16;64;8;3;2;23;False
2023-01-17;59;9;0;0;19;False
2023-01-18;64;4;0;4;27;False
2023-01-19;53;15;2;4;25;False
2023-01-20;41;9;3;0;20;False
2023-01-21;21;8;3;3;21;False
2023-01-22;29;6;3;0;24;False
2023-01-23;51;13;3;3;24;False
2023-01-24;50;8;100;5;19;False
2023-01-25;47;3;29;4;26;False
2023-01-26;54;4;15;4;23;False
2023-01-27;49;6;8;4;16;False
2023-01-28;24;6;6;0;22;False
2023-01-29;21;13;0;0;20;False
2023-01-30;56;9;2;0;34;False
2023-01-31;61;10;6;2;28;False
