date;Smartphones;Newtown shooting;Iran nuclear deal;England cricket team;air travel;isPartial
2023-01-01;30;0;0;7;76;False
2023-01-02;19;0;8;0;90;False
2023-01-03;18;0;6;56;59;False
2023-01-04;25;0;0;11;89;False
2023-01-05;19;0;0;16;73;False
2023-01-06;26;0;6;0;73;False
2023-01-07;45;0;0;9;53;False
2023-01-08;33;9;0;0;84;False
2023-01-09;15;0;8;17;50;False
2023-01-10;21;7;0;18;79;False
2023-01-11;18;0;0;19;90;False
2023-01-12;5;0;0;39;75;False
2023-01-13;27;7;0;12;60;False
2023-01-14;23;0;0;0;56;False
2023-01-15;17;0;0;7;66;False
2023-01-16;30;0;0;0;68;False
2023-01-17;27;0;0;10;56;False
2023-01-18;0;0;0;0;80;False
2023-01-19;0;0;0;0;73;False
2023-01-20;34;0;0;0;59;False
2023-01-21;13;0;8;0;63;False
2023-01-22;14;0;0;8;70;False
2023-01-23;7;0;0;10;72;False
2023-01-24;21;0;17;9;55;False
2023-01-25;18;9;7;10;75;False
2023-01-26;24;0;6;9;68;False
2023-01-27;32;6;0;47;47;False
2023-01-28;13;0;0;13;66;False
2023-01-29;46;0;0;49;60;False
2023-01-30;9;0;0;0;100;False
2023-01-31;19;0;19;9;84;False
