date;Richard Wagner;Greta Garbo;Extreme weather;Prince Andrew;air travel;isPartial
2023-01-01;4;2;4;100;20;False
2023-01-02;0;2;4;52;24;False
2023-01-03;2;0;7;43;15;False
2023-01-04;0;0;5;34;23;False
2023-01-05;2;1;5;28;19;False
2023-01-06;2;0;5;38;19;False
2023-01-07;3;0;2;39;14;False
2023-01-08;0;0;5;52;22;False
2023-01-09;0;4;6;40;13;False
2023-01-10;0;4;6;31;21;False
2023-01-11;0;0;4;38;23;False
2023-01-12;0;0;4;30;19;False
2023-01-13;0;0;2;24;16;False
2023-01-14;0;0;5;25;15;False
2023-01-15;2;1;5;22;17;False
2023-01-16;1;0;9;15;18;False
2023-01-17;0;3;7;22;14;False
2023-01-18;2;0;5;18;21;False
2023-01-19;0;0;8;15;19;False
2023-01-20;2;0;3;23;15;False
2023-01-21;0;0;7;20;16;False
2023-01-22;0;0;7;75;18;False
2023-01-23;2;0;8;55;19;False
2023-01-24;0;1;4;34;14;False
2023-01-25;0;1;7;35;20;False
2023-01-26;0;0;3;43;18;False
2023-01-27;0;1;5;25;12;False
2023-01-28;0;2;2;45;17;False
2023-01-29;0;2;5;41;16;False
2023-01-30;0;0;6;38;26;False
2023-01-31;3;0;3;29;22;False
