date;Fast food;Bollywood;archbishop of canterbury;Prague holidays;air travel;isPartial
2023-01-01;81;99;18;10;28;False
2023-01-02;62;90;7;6;33;False
2023-01-03;53;72;0;7;22;False
2023-01-04;56;71;4;7;33;False
2023-01-05;42;71;3;10;27;False
2023-01-06;64;69;7;10;27;False
2023-01-07;56;86;14;7;20;False
2023-01-08;61;83;4;12;31;False
2023-01-09;47;74;5;8;18;False
2023-01-10;47;60;5;8;29;False
2023-01-11;72;66;0;3;33;False
2023-01-12;50;58;5;3;27;False
2023-01-13;57;85;5;7;22;False
2023-01-14;72;80;3;12;21;False
2023-01-15;63;89;4;7;24;False
2023-01-16;51;71;0;7;25;False
2023-01-17;60;72;2;4;20;False
2023-01-18;56;61;3;9;29;False
2023-01-19;54;66;6;8;27;False
2023-01-20;70;76;5;12;22;False
2023-01-21;65;97;4;0;23;False
2023-01-22;55;86;6;6;26;False
2023-01-23;52;67;3;5;26;False
2023-01-24;49;52;7;4;20;False
2023-01-25;42;89;5;3;28;False
2023-01-26;49;85;3;10;25;False
2023-01-27;47;92;7;4;17;False
2023-01-28;70;100;2;5;24;False
2023-01-29;54;96;5;5;22;False
2023-01-30;63;81;0;5;37;False
2023-01-31;50;87;8;5;31;False
