date;Mila Kunis;Medical research;Kyiv;Chris Philp;air travel;isPartial
2023-01-01;66;11;67;0;69;False
2023-01-02;56;16;54;0;82;False
2023-01-03;30;11;34;9;53;False
2023-01-04;49;11;27;0;80;False
2023-01-05;42;25;57;0;66;False
2023-01-06;35;18;34;7;66;False
2023-01-07;61;19;51;0;48;False
2023-01-08;46;12;36;0;77;False
2023-01-09;39;9;42;0;45;False
2023-01-10;30;37;30;0;71;False
2023-01-11;27;17;37;0;81;False
2023-01-12;26;9;33;0;68;False
2023-01-13;24;25;43;0;54;False
2023-01-14;47;13;33;0;51;False
2023-01-15;29;0;38;0;60;False
2023-01-16;43;20;47;0;62;False
2023-01-17;37;31;28;5;50;False
2023-01-18;41;19;59;0;73;False
2023-01-19;69;26;45;0;66;False
2023-01-20;77;21;45;0;54;False
2023-01-21;100;17;38;0;57;False
2023-01-22;70;19;36;7;63;False
2023-01-23;71;0;33;0;65;False
2023-01-24;58;24;33;40;50;False
2023-01-25;50;14;32;23;68;False
2023-01-26;55;0;43;0;61;False
2023-01-27;43;26;67;0;43;False
2023-01-28;69;16;30;0;60;False
2023-01-29;71;18;24;0;55;False
2023-01-30;80;34;52;0;91;False
2023-01-31;36;27;45;0;76;False
