date;Democrats;Malnutrition;lewis hamilton;New Orleans Saints;air travel;isPartial
2023-01-01;7;1;32;4;20;False
2023-01-02;2;3;25;0;24;False
2023-01-03;8;0;36;0;15;False
2023-01-04;13;3;23;0;23;False
2023-01-05;6;6;27;0;19;False
2023-01-06;6;3;100;1;19;False
2023-01-07;9;0;74;0;14;False
2023-01-08;0;3;47;2;22;False
2023-01-09;6;3;34;0;13;False
2023-01-10;5;2;35;3;21;False
2023-01-11;5;5;39;0;23;False
2023-01-12;6;4;44;2;20;False
2023-01-13;5;3;26;0;16;False
2023-01-14;3;3;26;0;15;False
2023-01-15;5;0;42;4;17;False
2023-01-16;10;4;39;4;18;False
2023-01-17;7;2;39;2;15;False
2023-01-18;8;5;43;0;21;False
2023-01-19;3;8;33;2;19;False
2023-01-20;9;8;25;5;15;False
2023-01-21;2;9;28;4;17;False
2023-01-22;4;3;28;2;18;False
2023-01-23;8;8;41;0;19;False
2023-01-24;5;8;38;4;14;False
2023-01-25;10;7;32;0;20;False
2023-01-26;9;6;34;0;18;False
2023-01-27;5;2;44;2;12;False
2023-01-28;5;2;61;0;17;False
2023-01-29;3;5;50;2;16;False
2023-01-30;4;2;23;1;26;False
2023-01-31;9;8;30;0;22;False
