date;Michael Bay;new mexico;Literacy;University of Oxford;air travel;isPartial
2023-01-01;7;34;23;12;35;False
2023-01-02;7;27;36;21;41;False
2023-01-03;7;22;64;28;27;False
2023-01-04;2;24;78;29;40;False
2023-01-05;12;26;56;21;33;False
2023-01-06;2;26;57;28;33;False
2023-01-07;5;30;26;26;24;False
2023-01-08;8;17;58;20;39;False
2023-01-09;5;22;97;15;23;False
2023-01-10;7;25;94;35;36;False
2023-01-11;9;25;87;38;41;False
2023-01-12;3;21;77;20;34;False
2023-01-13;10;26;61;28;27;False
2023-01-14;10;22;33;15;26;False
2023-01-15;10;12;52;19;30;False
2023-01-16;9;13;75;33;31;False
2023-01-17;6;20;77;23;25;False
2023-01-18;5;40;91;24;37;False
2023-01-19;6;35;70;35;33;False
2023-01-20;9;27;62;21;27;False
2023-01-21;6;25;19;35;29;False
2023-01-22;9;32;45;23;32;False
2023-01-23;7;25;100;29;33;False
2023-01-24;6;29;86;41;25;False
2023-01-25;11;21;87;26;34;False
2023-01-26;4;14;90;24;31;False
2023-01-27;3;19;58;23;21;False
2023-01-28;10;26;35;24;30;False
2023-01-29;3;19;50;21;27;False
2023-01-30;0;21;89;33;46;False
2023-01-31;0;16;92;28;38;False
