date;ashley dale;Australian police and policing;RB Leipzig;unite;air travel;isPartial
2023-01-01;0;0;3;28;23;False
2023-01-02;3;0;0;38;28;False
2023-01-03;5;0;3;49;18;False
2023-01-04;0;0;3;45;27;False
2023-01-05;0;0;6;46;22;False
2023-01-06;0;0;2;54;23;False
2023-01-07;2;0;4;43;16;False
2023-01-08;0;0;5;39;26;False
2023-01-09;0;0;8;75;15;False
2023-01-10;2;0;7;52;24;False
2023-01-11;0;0;3;42;28;False
2023-01-12;0;0;9;54;23;False
2023-01-13;9;0;3;46;18;False
2023-01-14;2;0;8;38;17;False
2023-01-15;3;0;7;30;20;False
2023-01-16;0;0;3;56;21;False
2023-01-17;0;0;5;49;17;False
2023-01-18;0;0;7;51;25;False
2023-01-19;0;0;4;49;22;False
2023-01-20;0;0;100;49;18;False
2023-01-21;2;0;23;41;19;False
2023-01-22;0;0;7;43;22;False
2023-01-23;0;0;6;62;22;False
2023-01-24;0;0;47;54;17;False
2023-01-25;0;0;10;57;23;False
2023-01-26;0;0;4;54;21;False
2023-01-27;0;0;37;47;14;False
2023-01-28;3;0;7;31;20;False
2023-01-29;0;0;4;30;19;False
2023-01-30;2;0;0;62;31;False
2023-01-31;7;0;12;50;26;False
