date;Australian security and counter-terrorism;Robin Gibb;Tablet computers;Libya;air travel;isPartial
2023-01-01;0;4;0;31;57;False
2023-01-02;0;4;0;26;68;False
2023-01-03;0;0;4;33;44;False
2023-01-04;0;0;0;32;66;False
2023-01-05;0;0;0;30;54;False
2023-01-06;0;5;0;40;55;False
2023-01-07;0;0;0;19;40;False
2023-01-08;0;9;4;35;63;False
2023-01-09;0;6;0;36;37;False
2023-01-10;0;4;0;28;59;False
2023-01-11;0;0;0;32;67;False
2023-01-12;0;5;5;31;56;False
2023-01-13;0;5;0;100;45;False
2023-01-14;0;0;0;27;42;False
2023-01-15;0;0;0;27;49;False
2023-01-16;0;0;0;32;51;False
2023-01-17;0;0;0;48;42;False
2023-01-18;0;0;0;28;60;False
2023-01-19;0;4;8;30;54;False
2023-01-20;0;0;6;29;44;False
2023-01-21;0;6;0;34;47;False
2023-01-22;0;7;0;20;52;False
2023-01-23;0;8;0;20;54;False
2023-01-24;0;0;0;24;41;False
2023-01-25;0;0;11;31;56;False
2023-01-26;0;0;7;33;51;False
2023-01-27;0;25;0;31;35;False
2023-01-28;0;12;0;43;49;False
2023-01-29;0;14;4;40;45;False
2023-01-30;0;0;0;51;75;False
2023-01-31;0;0;0;53;63;False
