date;British Virgin Islands;johnny depp;Port-au-Prince;Chapter 11 - corporate bankruptcies;air travel;isPartial
2023-01-01;4;59;0;0;16;False
2023-01-02;4;34;0;0;19;False
2023-01-03;4;36;0;0;12;False
2023-01-04;0;23;0;0;18;False
2023-01-05;7;27;0;0;15;False
2023-01-06;7;21;0;0;15;False
2023-01-07;4;31;0;0;11;False
2023-01-08;6;27;0;0;17;False
2023-01-09;7;27;0;0;10;False
2023-01-10;0;25;0;0;16;False
2023-01-11;7;46;1;0;18;False
2023-01-12;3;100;0;0;15;False
2023-01-13;3;48;0;0;12;False
2023-01-14;3;38;0;0;12;False
2023-01-15;5;33;0;0;14;False
2023-01-16;7;28;1;0;14;False
2023-01-17;6;20;0;0;11;False
2023-01-18;3;21;0;0;17;False
2023-01-19;4;28;0;0;15;False
2023-01-20;4;26;0;0;12;False
2023-01-21;5;29;0;0;13;False
2023-01-22;3;28;0;0;14;False
2023-01-23;1;24;0;0;15;False
2023-01-24;4;23;0;0;11;False
2023-01-25;3;25;0;0;16;False
2023-01-26;2;22;0;0;14;False
2023-01-27;5;25;0;0;10;False
2023-01-28;5;34;0;0;14;False
2023-01-29;3;37;0;0;12;False
2023-01-30;6;22;0;0;21;False
2023-01-31;2;20;0;0;17;False
