date;Regulators;mahsa amini;Office for National Statistics;Elections past;air travel;isPartial
2023-01-01;22;18;0;0;76;False
2023-01-02;5;0;0;5;90;False
2023-01-03;15;16;20;0;59;False
2023-01-04;0;16;24;0;89;False
2023-01-05;8;0;21;0;73;False
2023-01-06;12;0;30;0;73;False
2023-01-07;13;0;0;0;53;False
2023-01-08;19;7;20;0;84;False
2023-01-09;13;5;19;0;50;False
2023-01-10;13;0;22;0;79;False
2023-01-11;25;7;16;5;90;False
2023-01-12;16;11;18;0;75;False
2023-01-13;7;0;0;5;60;False
2023-01-14;10;16;0;0;56;False
2023-01-15;12;0;0;5;66;False
2023-01-16;12;0;23;5;68;False
2023-01-17;19;0;17;0;56;False
2023-01-18;0;5;10;7;80;False
2023-01-19;14;0;6;0;73;False
2023-01-20;13;6;0;0;59;False
2023-01-21;0;8;15;0;63;False
2023-01-22;0;0;0;0;70;False
2023-01-23;18;0;8;0;72;False
2023-01-24;21;0;8;0;55;False
2023-01-25;26;0;19;0;75;False
2023-01-26;19;0;0;12;68;False
2023-01-27;10;8;10;0;47;False
2023-01-28;0;0;8;0;66;False
2023-01-29;19;9;0;0;60;False
2023-01-30;20;0;18;0;100;False
2023-01-31;13;0;14;11;84;False
