date;Sweden;Morocco;hillsborough report;Tonga volcano;air travel;isPartial
2023-01-01;51;83;0;4;9;False
2023-01-02;49;80;0;0;11;False
2023-01-03;48;73;1;1;7;False
2023-01-04;43;69;0;0;11;False
2023-01-05;49;72;0;0;9;False
2023-01-06;47;58;0;0;9;False
2023-01-07;41;76;0;0;6;False
2023-01-08;48;87;1;0;10;False
2023-01-09;54;71;1;1;6;False
2023-01-10;49;75;0;0;9;False
2023-01-11;44;64;1;0;11;False
2023-01-12;57;64;0;0;9;False
2023-01-13;50;66;0;1;7;False
2023-01-14;41;75;0;0;7;False
2023-01-15;45;100;0;2;8;False
2023-01-16;45;70;2;0;8;False
2023-01-17;44;70;0;15;7;False
2023-01-18;48;74;0;1;10;False
2023-01-19;48;76;0;0;9;False
2023-01-20;52;66;2;1;7;False
2023-01-21;47;66;0;0;8;False
2023-01-22;59;78;0;1;8;False
2023-01-23;56;70;0;1;9;False
2023-01-24;63;67;0;0;7;False
2023-01-25;56;60;1;0;9;False
2023-01-26;45;55;1;0;8;False
2023-01-27;46;59;1;1;6;False
2023-01-28;40;58;0;1;8;False
2023-01-29;61;74;0;0;7;False
2023-01-30;55;64;0;0;12;False
2023-01-31;48;62;2;0;10;False
