date;roads;FBI;Christmas;Call of Duty;air travel;isPartial
2023-01-01;2;1;100;3;1;False
2023-01-02;1;1;92;3;1;False
2023-01-03;2;1;66;3;0;False
2023-01-04;2;1;56;2;1;False
2023-01-05;2;1;53;2;1;False
2023-01-06;2;1;48;2;1;False
2023-01-07;1;1;42;2;0;False
2023-01-08;2;1;35;3;1;False
2023-01-09;2;1;22;2;0;False
2023-01-10;2;1;19;2;1;False
2023-01-11;2;1;17;2;1;False
2023-01-12;2;1;19;2;1;False
2023-01-13;2;1;17;2;0;False
2023-01-14;2;1;17;3;0;False
2023-01-15;2;1;18;2;0;False
2023-01-16;3;1;16;2;1;False
2023-01-17;4;1;14;2;0;False
2023-01-18;4;1;13;2;1;False
2023-01-19;3;1;13;2;1;False
2023-01-20;2;1;13;2;0;False
2023-01-21;2;1;15;2;0;False
2023-01-22;2;1;14;2;1;False
2023-01-23;2;1;12;2;1;False
2023-01-24;2;1;12;1;0;False
2023-01-25;2;1;12;2;1;False
2023-01-26;2;1;11;2;1;False
2023-01-27;2;1;11;2;0;False
2023-01-28;2;3;12;3;0;False
2023-01-29;1;2;12;2;0;False
2023-01-30;2;1;10;2;1;False
2023-01-31;2;1;10;2;1;False
