date;Marathon;michael gove;Domestic workers;The Photographers' Gallery;air travel;isPartial
2023-01-01;100;1;0;0;6;False
2023-01-02;89;1;0;1;7;False
2023-01-03;71;2;0;0;5;False
2023-01-04;68;2;0;1;7;False
2023-01-05;59;0;0;0;6;False
2023-01-06;62;1;0;1;6;False
2023-01-07;59;1;1;0;4;False
2023-01-08;82;1;0;1;7;False
2023-01-09;68;1;0;0;4;False
2023-01-10;56;2;0;0;6;False
2023-01-11;57;1;0;0;7;False
2023-01-12;55;2;1;0;6;False
2023-01-13;51;1;0;1;5;False
2023-01-14;61;1;0;0;5;False
2023-01-15;75;2;0;0;5;False
2023-01-16;60;1;0;0;6;False
2023-01-17;49;0;0;0;5;False
2023-01-18;46;1;0;0;7;False
2023-01-19;45;5;0;0;6;False
2023-01-20;50;3;2;1;5;False
2023-01-21;58;2;0;0;5;False
2023-01-22;76;1;0;0;6;False
2023-01-23;66;1;0;0;6;False
2023-01-24;58;1;0;0;4;False
2023-01-25;53;1;0;0;6;False
2023-01-26;50;2;0;1;6;False
2023-01-27;53;2;0;0;4;False
2023-01-28;63;1;0;1;5;False
2023-01-29;75;12;0;1;5;False
2023-01-30;65;8;0;0;8;False
2023-01-31;63;5;0;1;7;False
