date;Video art;Gambling;Michael Parkinson;Donna Tartt;air travel;isPartial
2023-01-01;6;65;7;10;38;False
2023-01-02;6;88;6;0;44;False
2023-01-03;4;89;8;9;29;False
2023-01-04;8;78;0;3;44;False
2023-01-05;6;83;6;3;36;False
2023-01-06;0;100;6;0;36;False
2023-01-07;2;73;6;3;26;False
2023-01-08;10;91;5;8;42;False
2023-01-09;7;64;6;7;25;False
2023-01-10;4;70;0;0;39;False
2023-01-11;8;96;6;0;44;False
2023-01-12;7;76;0;0;37;False
2023-01-13;0;86;3;0;29;False
2023-01-14;7;62;0;3;28;False
2023-01-15;7;65;10;0;33;False
2023-01-16;11;76;0;0;34;False
2023-01-17;8;69;0;0;27;False
2023-01-18;5;72;0;0;39;False
2023-01-19;6;65;2;4;36;False
2023-01-20;8;95;3;0;29;False
2023-01-21;7;81;8;0;31;False
2023-01-22;4;79;3;0;34;False
2023-01-23;13;73;0;5;35;False
2023-01-24;0;72;10;6;27;False
2023-01-25;5;86;7;4;37;False
2023-01-26;7;91;3;3;33;False
2023-01-27;4;92;6;0;23;False
2023-01-28;0;67;0;6;32;False
2023-01-29;7;72;5;4;30;False
2023-01-30;3;71;0;4;49;False
2023-01-31;2;80;4;6;41;False
