date;brazil;Transition towns;Sculpture;Kate O'Flynn;air travel;isPartial
2023-01-01;48;0;9;0;4;False
2023-01-02;50;0;15;0;5;False
2023-01-03;49;0;6;0;3;False
2023-01-04;36;0;9;1;5;False
2023-01-05;35;0;11;0;4;False
2023-01-06;36;0;10;0;4;False
2023-01-07;30;0;11;0;3;False
2023-01-08;53;0;10;0;5;False
2023-01-09;67;0;11;0;3;False
2023-01-10;43;0;9;1;4;False
2023-01-11;34;0;10;0;5;False
2023-01-12;35;0;9;0;4;False
2023-01-13;34;0;10;0;3;False
2023-01-14;31;0;12;0;3;False
2023-01-15;32;0;11;0;4;False
2023-01-16;32;0;10;1;4;False
2023-01-17;31;0;12;0;3;False
2023-01-18;35;0;9;1;4;False
2023-01-19;34;0;12;0;4;False
2023-01-20;32;1;10;0;3;False
2023-01-21;100;0;11;0;3;False
2023-01-22;44;1;11;0;4;False
2023-01-23;33;0;10;0;4;False
2023-01-24;35;0;10;0;3;False
2023-01-25;37;0;10;0;4;False
2023-01-26;31;0;9;0;4;False
2023-01-27;33;0;9;0;3;False
2023-01-28;26;0;9;0;4;False
2023-01-29;28;0;13;0;3;False
2023-01-30;32;0;10;0;5;False
2023-01-31;32;0;9;0;5;False
