date;covid 19;david carrick;gambia;Labor party;air travel;isPartial
2023-01-01;25;1;15;0;9;False
2023-01-02;39;0;19;0;11;False
2023-01-03;41;1;16;1;7;False
2023-01-04;31;1;12;0;11;False
2023-01-05;24;1;16;1;9;False
2023-01-06;27;0;15;0;9;False
2023-01-07;23;0;12;0;6;False
2023-01-08;26;1;13;0;10;False
2023-01-09;27;2;14;0;6;False
2023-01-10;26;0;15;0;10;False
2023-01-11;24;1;14;0;11;False
2023-01-12;25;0;14;0;9;False
2023-01-13;18;1;12;0;7;False
2023-01-14;22;0;13;1;7;False
2023-01-15;17;0;15;0;8;False
2023-01-16;23;100;14;0;8;False
2023-01-17;21;68;13;0;7;False
2023-01-18;20;38;12;0;10;False
2023-01-19;21;11;16;1;9;False
2023-01-20;18;7;12;0;7;False
2023-01-21;16;4;16;0;8;False
2023-01-22;17;5;12;0;9;False
2023-01-23;19;2;12;0;9;False
2023-01-24;19;2;14;0;7;False
2023-01-25;21;3;10;0;9;False
2023-01-26;21;2;12;0;8;False
2023-01-27;17;8;15;0;6;False
2023-01-28;15;3;12;0;8;False
2023-01-29;19;0;14;1;7;False
2023-01-30;19;2;11;0;12;False
2023-01-31;19;1;12;0;10;False
