date;Espanyol;Merlin Entertainments;Anthropology;New Hampshire;air travel;isPartial
2023-01-01;91;15;38;52;76;False
2023-01-02;30;12;64;48;90;False
2023-01-03;74;9;56;56;59;False
2023-01-04;17;7;57;35;89;False
2023-01-05;11;11;49;48;73;False
2023-01-06;16;0;69;48;73;False
2023-01-07;76;0;53;65;53;False
2023-01-08;0;37;75;52;84;False
2023-01-09;18;0;95;49;50;False
2023-01-10;0;0;62;42;79;False
2023-01-11;14;0;58;35;90;False
2023-01-12;7;0;64;21;75;False
2023-01-13;0;0;55;44;60;False
2023-01-14;7;15;48;60;56;False
2023-01-15;83;9;52;38;66;False
2023-01-16;0;0;71;64;68;False
2023-01-17;0;9;59;44;56;False
2023-01-18;52;0;56;31;80;False
2023-01-19;14;7;65;35;73;False
2023-01-20;7;6;65;40;59;False
2023-01-21;54;19;41;64;63;False
2023-01-22;8;6;54;58;70;False
2023-01-23;15;6;80;25;72;False
2023-01-24;12;0;83;31;55;False
2023-01-25;7;17;74;76;75;False
2023-01-26;5;11;84;41;68;False
2023-01-27;58;22;48;26;47;False
2023-01-28;26;0;46;36;66;False
2023-01-29;7;0;63;54;60;False
2023-01-30;7;0;56;39;100;False
2023-01-31;0;19;68;28;84;False
