date;Gladiator;US Senate;North and Central America holidays;Caribbean food and drink;air travel;isPartial
2023-01-01;50;0;0;0;27;False
2023-01-02;36;0;0;0;32;False
2023-01-03;43;6;0;0;21;False
2023-01-04;39;10;0;0;31;False
2023-01-05;25;3;0;0;26;False
2023-01-06;78;6;0;0;26;False
2023-01-07;100;6;0;0;19;False
2023-01-08;66;3;0;0;30;False
2023-01-09;51;4;0;0;18;False
2023-01-10;46;0;0;0;28;False
2023-01-11;49;9;0;0;32;False
2023-01-12;32;0;0;0;26;False
2023-01-13;46;2;0;0;21;False
2023-01-14;65;2;0;0;20;False
2023-01-15;60;2;0;0;23;False
2023-01-16;45;3;0;0;24;False
2023-01-17;38;0;0;0;20;False
2023-01-18;40;0;0;0;28;False
2023-01-19;31;0;0;0;26;False
2023-01-20;37;2;0;0;21;False
2023-01-21;52;0;0;0;22;False
2023-01-22;41;2;0;0;25;False
2023-01-23;46;0;0;0;25;False
2023-01-24;38;5;0;0;20;False
2023-01-25;29;5;0;0;27;False
2023-01-26;42;0;0;0;24;False
2023-01-27;45;3;0;0;17;False
2023-01-28;72;0;0;0;23;False
2023-01-29;62;3;0;0;21;False
2023-01-30;39;0;0;0;35;False
2023-01-31;36;2;0;0;30;False
