date;Logging and land-clearing;Nicolás Maduro;Tomatoes;Bill Shorten;air travel;isPartial
2023-01-01;0;0;91;0;10;False
2023-01-02;0;1;90;0;12;False
2023-01-03;0;2;73;1;8;False
2023-01-04;0;0;69;0;12;False
2023-01-05;0;0;71;0;10;False
2023-01-06;0;0;71;0;10;False
2023-01-07;0;0;98;0;7;False
2023-01-08;0;1;84;0;11;False
2023-01-09;0;0;68;1;7;False
2023-01-10;0;0;76;0;10;False
2023-01-11;0;1;76;2;12;False
2023-01-12;0;0;73;0;10;False
2023-01-13;0;0;67;0;8;False
2023-01-14;0;0;89;0;7;False
2023-01-15;0;0;88;0;9;False
2023-01-16;0;0;85;0;9;False
2023-01-17;0;0;74;1;7;False
2023-01-18;0;0;74;0;11;False
2023-01-19;0;0;62;0;10;False
2023-01-20;0;1;79;0;8;False
2023-01-21;0;0;100;1;8;False
2023-01-22;0;1;84;0;9;False
2023-01-23;0;0;76;0;10;False
2023-01-24;0;0;62;2;7;False
2023-01-25;0;0;63;0;10;False
2023-01-26;0;0;75;2;9;False
2023-01-27;0;1;71;1;6;False
2023-01-28;0;0;92;0;9;False
2023-01-29;0;0;85;0;8;False
2023-01-30;0;0;63;0;13;False
2023-01-31;0;0;72;0;11;False
