date;Rishi Sunak;Hygiene;Equality Act 2010;American food and drink;air travel;isPartial
2023-01-01;21;17;1;0;7;False
2023-01-02;30;17;3;0;9;False
2023-01-03;28;24;6;1;6;False
2023-01-04;100;23;7;0;9;False
2023-01-05;67;26;7;2;7;False
2023-01-06;70;27;5;0;7;False
2023-01-07;54;24;4;0;5;False
2023-01-08;57;20;5;0;8;False
2023-01-09;43;24;6;1;5;False
2023-01-10;30;28;6;0;8;False
2023-01-11;39;29;9;0;9;False
2023-01-12;47;27;10;1;7;False
2023-01-13;33;26;6;0;6;False
2023-01-14;23;25;2;1;5;False
2023-01-15;20;20;4;1;6;False
2023-01-16;19;28;8;0;7;False
2023-01-17;22;26;7;0;5;False
2023-01-18;23;28;7;1;8;False
2023-01-19;45;29;7;0;7;False
2023-01-20;76;27;6;0;6;False
2023-01-21;42;29;2;0;6;False
2023-01-22;30;20;4;1;7;False
2023-01-23;38;29;8;0;7;False
2023-01-24;20;29;7;0;5;False
2023-01-25;30;29;8;0;7;False
2023-01-26;24;31;7;2;7;False
2023-01-27;25;27;5;2;5;False
2023-01-28;22;25;2;0;6;False
2023-01-29;36;20;3;0;6;False
2023-01-30;47;29;7;0;10;False
2023-01-31;25;32;5;1;8;False
