date;European Tour;Maxine Peake;Toys;Sunderland;air travel;isPartial
2023-01-01;1;0;67;82;2;False
2023-01-02;1;1;67;55;3;False
2023-01-03;1;1;58;46;2;False
2023-01-04;0;0;55;48;3;False
2023-01-05;0;0;53;47;2;False
2023-01-06;1;0;55;50;2;False
2023-01-07;1;0;63;68;2;False
2023-01-08;1;0;66;48;3;False
2023-01-09;1;0;47;48;2;False
2023-01-10;1;0;49;44;3;False
2023-01-11;0;0;49;45;3;False
2023-01-12;1;0;52;47;2;False
2023-01-13;2;0;52;47;2;False
2023-01-14;2;0;64;72;2;False
2023-01-15;1;0;61;46;2;False
2023-01-16;1;0;50;45;2;False
2023-01-17;1;1;47;42;2;False
2023-01-18;1;0;48;46;3;False
2023-01-19;5;0;50;46;2;False
2023-01-20;5;0;53;46;2;False
2023-01-21;4;0;62;55;2;False
2023-01-22;5;0;59;99;2;False
2023-01-23;1;0;50;50;2;False
2023-01-24;1;0;53;50;2;False
2023-01-25;1;0;50;49;2;False
2023-01-26;7;0;49;51;2;False
2023-01-27;8;0;56;55;2;False
2023-01-28;8;0;60;100;2;False
2023-01-29;8;0;60;57;2;False
2023-01-30;7;0;52;59;3;False
2023-01-31;1;0;53;66;3;False
